,Bowler,Country,No. of Matches Bowled In,Total Wickets,Total Balls Bowled,Total Runs Conceded,Bowling Average,Economy Rate,Strike Rate,Balls Bowled per Match,Wickets per Match
1260,Mohamed Shafeeq,Kuwait,7,7,147,218,31.14285714,8.897959184,21,21,1
1261,Mohameed Taiwo,Nigeria,12,4,234,296,74,7.58974359,58.5,19.5,0.333333333
1262,Mohammad Aadil Alam,Nepal,6,5,84,84,16.8,6,16.8,14,0.833333333
1263,Mohammad Ahsan,Kuwait,3,2,54,94,47,10.44444444,27,18,0.666666667
1264,Mohammad Amin,Kuwait,2,1,12,18,18,9,12,6,0.5
1265,Mohammad Amir,Pakistan,48,57,1060,1240,21.75438596,7.018867925,18.59649123,22.08333333,1.1875
1266,Mohammad Asaduzzaman,Finland,7,4,138,174,43.5,7.565217391,34.5,19.71428571,0.571428571
1267,Mohammad Ashraful,Bangladesh,8,8,138,210,26.25,9.130434783,17.25,17.25,1
1268,Mohammad Asif,Pakistan,10,9,233,325,36.11111111,8.369098712,25.88888889,23.3,0.9
1269,Mohammad Atif,Spain,1,1,18,22,22,7.333333333,18,18,1
1270,Mohammad Ayaz,United Arab Emirates,1,0,12,25,0,12.5,0,12,0
1271,Mohammad Boota,United Arab Emirates,1,1,6,13,13,13,6,6,1
1272,Mohammad Ghazanfar,Hong Kong,17,18,336,358,19.88888889,6.392857143,18.66666667,19.76470588,1.058823529
1273,Mohammad Hafeez,Pakistan,72,54,1177,1277,23.64814815,6.509770603,21.7962963,16.34722222,0.75
1274,Mohammad Hasnain,Pakistan,26,25,606,853,34.12,8.445544554,24.24,23.30769231,0.961538462
1275,Mohammad Irfan,Pakistan,20,16,417,491,30.6875,7.064748201,26.0625,20.85,0.8
1276,Mohammad Kamran,Spain,16,19,367,319,16.78947368,5.215258856,19.31578947,22.9375,1.1875
1277,Mohammad Kashif,Netherlands,2,2,24,27,13.5,6.75,12,12,1
1278,Mohammad Nabi,Afghanistan,100,76,1930,2356,31,7.324352332,25.39473684,19.3,0.76
1279,Mohammad Nadeem,Oman,34,22,564,679,30.86363636,7.223404255,25.63636364,16.58823529,0.647058824
1280,Mohammad Naveed,United Arab Emirates,28,34,622,621,18.26470588,5.990353698,18.29411765,22.21428571,1.214285714
1281,Mohammad Nawaz,Pakistan,30,25,568,714,28.56,7.542253521,22.72,18.93333333,0.833333333
1282,Mohammad Nawaz (3),Pakistan,24,19,462,544,28.63157895,7.064935065,24.31578947,19.25,0.791666667
1283,Mohammad Saifuddin,Bangladesh,34,34,701,1009,29.67647059,8.636233951,20.61764706,20.61764706,1
1284,Mohammad Sami,Pakistan,13,21,276,387,18.42857143,8.413043478,13.14285714,21.23076923,1.615384615
1285,Mohammad Shahid,Bangladesh,1,1,18,32,32,10.66666667,18,18,1
1286,Mohammad Shahzad,United Arab Emirates,13,8,188,245,30.625,7.819148936,23.5,14.46153846,0.615384615
1287,Mohammad Shahzad (2),United Arab Emirates,6,5,101,166,33.2,9.861386139,20.2,16.83333333,0.833333333
1288,Mohammad Tauqir,United Arab Emirates,3,0,42,55,0,7.857142857,0,14,0
1289,Mohammad Wasim,Pakistan,24,31,491,655,21.12903226,8.00407332,15.83870968,20.45833333,1.291666667
1290,Mohammed Alamgir,Eswatini,2,1,30,35,35,7,30,15,0.5
1291,Mohammed Awais,Qatar,5,2,78,132,66,10.15384615,39,15.6,0.4
1292,Mohammed Faraazuddin,United Arab Emirates,3,2,48,70,35,8.75,24,16,0.666666667
1293,Mohammed Nadeem,Qatar,14,17,288,320,18.82352941,6.666666667,16.94117647,20.57142857,1.214285714
1294,Mohammed Qasim,United Arab Emirates,1,0,6,8,0,8,0,6,0
1295,Mohammed Shami,India,18,18,377,561,31.16666667,8.928381963,20.94444444,20.94444444,1
1296,Mohammed Siraj,India,7,6,168,277,46.16666667,9.892857143,28,24,0.857142857
1297,Mohsin Khan,Hong Kong,3,4,54,72,18,8,13.5,18,1.333333333
1298,Mominul Haque,Bangladesh,2,0,18,32,0,10.66666667,0,9,0
1299,Mosaddek Hossain,Bangladesh,26,16,331,398,24.875,7.214501511,20.6875,12.73076923,0.615384615
1300,Moshiur Rahman,Estonia,1,0,4,14,0,21,0,4,0
1301,Mubeen Tariq,Portugal,1,0,12,32,0,16,0,12,0
1302,Mudassar Bukhari,Netherlands,29,36,574,629,17.47222222,6.574912892,15.94444444,19.79310345,1.24137931
1303,Mudassir Iqbal,South Korea,2,1,24,53,53,13.25,24,12,0.5
1304,Muhammad Afis,Indonesia,1,0,6,18,0,18,0,6,0
1305,Muhammad Amin,Swaziland,2,1,30,39,39,7.8,30,15,0.5
1306,Muhammad Amir,Malaysia,3,2,48,88,44,11,24,16,0.666666667
1307,Muhammad Ansar,Kuwait,2,3,36,56,18.66666667,9.333333333,12,18,1.5
1308,Muhammad Fahim,Belgium,6,1,96,108,108,6.75,96,16,0.166666667
1309,Muhammad Farooq,Cyprus,1,1,6,2,2,2,6,6,1
1310,Muhammad Jawadullah,United Arab Emirates,3,4,72,76,19,6.333333333,18,24,1.333333333
1311,Muhammad Kashif,Kuwait,5,4,77,120,30,9.350649351,19.25,15.4,0.8
1312,Muhammad Murad,Qatar,3,3,48,53,17.66666667,6.625,16,16,1
1313,Muhammad Musa,Pakistan,2,0,47,62,0,7.914893617,0,23.5,0
1314,Muhammad Saqib,Saudi Arabia,5,5,100,155,31,9.3,20,20,1
1315,Muhammad Shoaib Ahmed,Cyprus,5,5,108,107,21.4,5.944444444,21.6,21.6,1
1316,Muhammad Siddiqui,Slovenia,3,2,72,78,39,6.5,36,24,0.666666667
1317,Muhammad Tanveer,Qatar,8,6,159,192,32,7.245283019,26.5,19.875,0.75
1318,Muhammad Wafiq,Malaysia,20,20,430,527,26.35,7.353488372,21.5,21.5,1
1319,Muhammad Younis,Bahrain,1,0,6,13,0,13,0,6,0
1320,Muhammad Zaghlool,Belize,2,0,24,39,0,9.75,0,12,0
1321,Muhammed Manga,Gambia,1,0,8,19,0,14.25,0,8,0
1322,Muhammed Shanil,United Arab Emirates,1,0,24,49,0,12.25,0,24,0
1323,Muhammed Turkmen,Turkey,3,3,48,45,15,5.625,16,16,1
1324,Muhammet Bicer,Turkey,1,0,6,5,0,5,0,6,0
1325,Muhammet Kursat,Turkey,3,2,30,35,17.5,7,15,10,0.666666667
1326,Mujeeb Ur Rahman,Afghanistan,42,54,930,967,17.90740741,6.238709677,17.22222222,22.14285714,1.285714286
1327,Mukesh Kumar,India,5,3,77,113,37.66666667,8.805194805,25.66666667,15.4,0.6
1328,Muktar Ali,Bangladesh,1,0,12,17,0,8.5,0,12,0
1329,Murat Ipek,Turkey,1,0,6,3,0,3,0,6,0
1330,Murat Yilmaz,Turkey,3,0,29,29,0,6,0,9.666666667,0
1331,Murid Ekrami,Belgium,10,8,213,251,31.375,7.070422535,26.625,21.3,0.8
1332,Murtaza Yamin,Cyprus,1,0,18,29,0,9.666666667,0,18,0
1333,Musa Shaheen,Denmark,1,0,6,10,0,10,0,6,0
1334,Musawar Shah,Qatar,4,4,66,61,15.25,5.545454545,16.5,16.5,1
1335,Muslim Yar,Germany,34,43,708,759,17.65116279,6.43220339,16.46511628,20.82352941,1.264705882
1336,Mustafizur Rahman,Bangladesh,84,100,1816,2295,22.95,7.582599119,18.16,21.61904762,1.19047619
1337,Mustapha Suwareh,Gambia,2,1,18,52,52,17.33333333,18,9,0.5
1338,Mustapha Yusuf,Nigeria,5,3,84,120,40,8.571428571,28,16.8,0.6
1339,Myat Thu Aung,Myanmar,1,1,6,12,12,12,6,6,1
1340,N Advani,Gibraltar,3,1,36,38,38,6.333333333,36,12,0.333333333
1341,N Ahir,Panama,5,1,72,114,114,9.5,72,14.4,0.2
1342,N Boje,South Africa,1,1,24,27,27,6.75,24,24,1
1343,N Davidovic,Croatia,2,4,42,53,13.25,7.571428571,10.5,21,2
1344,N Deonarine,West Indies,4,0,54,87,0,9.666666667,0,13.5,0
1345,N Dutta,Canada,15,11,300,346,31.45454545,6.92,27.27272727,20,0.733333333
1346,N Krishna,Seychelles,6,4,96,124,31,7.75,24,16,0.666666667
1347,N M'shangwe,Zimbabwe,5,4,96,142,35.5,8.875,24,19.2,0.8
1348,N Madziva,Zimbabwe,15,12,281,417,34.75,8.903914591,23.41666667,18.73333333,0.8
1349,N Magagula,Swaziland,1,0,18,28,0,9.333333333,0,18,0
1350,N Master,Botswana,1,1,24,30,30,7.5,24,24,1
1351,N Nankov,Bulgaria,1,1,12,13,13,6.5,12,12,1
1352,N Ndouteng,Cameroon,1,2,24,58,29,14.5,12,24,2
1353,N Nipiko,Vanuatu,16,30,280,327,10.9,7.007142857,9.333333333,17.5,1.875
1354,N Nuntarach,Thailand,3,3,24,15,5,3.75,8,8,1
1355,N Pathan,Thailand,5,3,46,79,26.33333333,10.30434783,15.33333333,9.2,0.6
1356,N Pokana,Papua New Guinea,18,16,358,445,27.8125,7.458100559,22.375,19.88888889,0.888888889
1357,N Pradeep,Sri Lanka,16,14,278,436,31.14285714,9.410071942,19.85714286,17.375,0.875
1358,N Senamontree,Thailand,8,11,140,146,13.27272727,6.257142857,12.72727273,17.5,1.375
1359,N Thailappan,Bahrain,1,0,18,40,0,13.33333333,0,18,0
1360,N Thushara,Sri Lanka,3,1,31,49,49,9.483870968,31,10.33333333,0.333333333
1361,N Tyagi,Czech Republic,1,1,24,22,22,5.5,24,24,1
1362,N Vanua,Papua New Guinea,35,42,712,879,20.92857143,7.407303371,16.95238095,20.34285714,1.2
1363,N Zimonjic,Serbia,5,3,52,120,40,13.84615385,17.33333333,10.4,0.6
1364,NA Greenwood,Jersey,6,3,84,79,26.33333333,5.642857143,28,14,0.5
1365,NA Janes,Thailand,1,0,6,12,0,12,0,6,0
1366,NA Karnik,Singapore,4,1,70,140,140,12,70,17.5,0.25
1367,NA Maiolo,Italy,4,4,96,92,23,5.75,24,24,1
1368,NCK Liyanage,Malaysia,4,2,72,79,39.5,6.583333333,36,18,0.5
1369,ND Laegsgaard,Denmark,18,22,357,320,14.54545455,5.378151261,16.22727273,19.83333333,1.222222222
1370,NE Bonner,West Indies,1,0,12,18,0,9,0,12,0
1371,NG Jones,Ireland,2,0,12,14,0,7,0,6,0
1372,NH Ekanayake,Bahamas,3,3,59,60,20,6.101694915,19.66666667,19.66666667,1
1373,NH Naureen,Spain,1,1,18,32,32,10.66666667,18,18,1
1374,NJ Astle,New Zealand,2,2,41,50,25,7.317073171,20.5,20.5,1
1375,NK Aneesh Kumar,Switzerland,12,9,255,265,29.44444444,6.235294118,28.33333333,21.25,0.75
1376,NK Patel,United States of America,15,23,312,275,11.95652174,5.288461538,13.56521739,20.8,1.533333333
1377,NK Tiwari,Cyprus,10,6,179,205,34.16666667,6.87150838,29.83333333,17.9,0.6
1378,NL McCullum,New Zealand,54,49,1039,1185,24.18367347,6.843118383,21.20408163,19.24074074,0.907407407
1379,NL Ujawe,Slovenia,4,2,54,59,29.5,6.555555556,27,13.5,0.5
1380,NLTC Perera,ICC World XI/Sri Lanka,64,47,1066,1663,35.38297872,9.360225141,22.68085106,16.65625,0.734375
1381,NM Carter,Scotland,5,4,114,143,35.75,7.526315789,28.5,22.8,0.8
1382,NM Coulter-Nile,Australia,26,30,558,765,25.5,8.225806452,18.6,21.46153846,1.153846154
1383,NM Hauritz,Australia,2,2,44,47,23.5,6.409090909,22,22,1
1384,NM Lyon,Australia,2,1,30,48,48,9.6,30,15,0.5
1385,NM Odhiambo,Kenya,19,10,282,386,38.6,8.212765957,28.2,14.84210526,0.526315789
1386,NMS Param,Singapore,3,2,48,55,27.5,6.875,24,16,0.666666667
1387,NN Banner,Belize,2,0,30,58,0,11.6,0,15,0
1388,NN Odhiambo,Kenya,29,22,462,669,30.40909091,8.688311688,21,15.93103448,0.75862069
1389,NO Miller,West Indies,9,11,190,224,20.36363636,7.073684211,17.27272727,21.11111111,1.222222222
1390,NR Johns-Wickberg,Serbia,16,19,333,363,19.10526316,6.540540541,17.52631579,20.8125,1.1875
1391,NR Kumar,Canada,8,5,114,120,24,6.315789474,22.8,14.25,0.625
1392,NS Dhaliwal,Canada,5,3,54,55,18.33333333,6.111111111,18,10.8,0.6
1393,NSK Mehta,Belgium,8,9,186,205,22.77777778,6.612903226,20.66666667,23.25,1.125
1394,NT Ellis,Australia,5,15,120,128,8.533333333,6.4,8,24,3
1395,NW Bracken,Australia,19,18,377,438,24.33333333,6.970822281,20.94444444,19.84210526,0.947368421
1396,Nadeem Ahmed,Hong Kong,23,24,471,514,21.41666667,6.547770701,19.625,20.47826087,1.043478261
1397,Nader Zahadiafzal,Iran,1,0,18,15,0,5,0,18,0
1398,Naeem Islam,Bangladesh,6,3,90,122,40.66666667,8.133333333,30,15,0.5
1399,Naiem Bameri,Iran,1,1,18,14,14,4.666666667,18,18,1
1400,Najeeb Amar,Hong Kong,1,1,18,29,29,9.666666667,18,18,1
1401,Najjam Shahzad,Portugal,18,16,302,362,22.625,7.19205298,18.875,16.77777778,0.888888889
1402,Namgay Thinley,Bhutan,9,15,184,158,10.53333333,5.152173913,12.26666667,20.44444444,1.666666667
1403,Naseem Khan,Croatia,5,2,54,85,42.5,9.444444444,27,10.8,0.4
1404,Naseem Shah,Pakistan,19,15,427,520,34.66666667,7.306791569,28.46666667,22.47368421,0.789473684
1405,Nasir Aziz,United Arab Emirates,1,0,24,21,0,5.25,0,24,0
1406,Nasir Hossain,Bangladesh,11,7,179,262,37.42857143,8.782122905,25.57142857,16.27272727,0.636363636
1407,Nasrulla Rana,Hong Kong,13,9,189,260,28.88888889,8.253968254,21,14.53846154,0.692307692
1408,Nasum Ahmed,Bangladesh,34,33,645,787,23.84848485,7.320930233,19.54545455,18.97058824,0.970588235
1409,Navdeep Saini,India,8,13,173,206,15.84615385,7.144508671,13.30769231,21.625,1.625
1410,Naved-ul-Hasan,Pakistan,3,5,67,72,14.4,6.447761194,13.4,22.33333333,1.666666667
1411,Naveed Ahmed,Czech Republic,18,16,336,423,26.4375,7.553571429,21,18.66666667,0.888888889
1412,Naveed Fakhr,Kuwait,1,1,24,31,31,7.75,24,24,1
1413,Naveed Shahid,Finland,5,3,84,101,33.66666667,7.214285714,28,16.8,0.6
1414,Naveen-ul-Haq,Afghanistan,26,31,496,683,22.03225806,8.262096774,16,19.07692308,1.192307692
1415,Navid Abdollahpour,Iran,1,1,18,24,24,8,18,18,1
1416,Navid Balouch,Iran,1,0,12,23,0,11.5,0,12,0
1417,Nawaf Ahmed,Kuwait,5,2,66,88,44,8,33,13.2,0.4
1418,Nawroz Mangal,Afghanistan,5,4,59,76,19,7.728813559,14.75,11.8,0.8
1419,Nazakat Ali,Norway,2,1,18,16,16,5.333333333,18,9,0.5
1420,Nazmul Hossain,Bangladesh,3,1,36,56,56,9.333333333,36,12,0.333333333
1421,Nazmul Hossain Shanto,Bangladesh,2,0,12,12,0,6,0,6,0
1422,Nazmul Islam,Bangladesh,12,8,231,265,33.125,6.883116883,28.875,19.25,0.666666667
1423,Nazril Rahman,Malaysia,8,3,96,163,54.33333333,10.1875,32,12,0.375
1424,Nestor Dhamba,Oman,1,0,18,12,0,4,0,18,0
1425,Ngawang Thinley,Bhutan,6,10,87,109,10.9,7.517241379,8.7,14.5,1.666666667
1426,Nijat Masood,Afghanistan,3,3,66,95,31.66666667,8.636363636,22,22,1
1427,Niv Nagavkar,Israel,3,1,58,71,71,7.344827586,58,19.33333333,0.333333333
1428,Nizakat Khan,Hong Kong,6,4,96,91,22.75,5.6875,24,16,0.666666667
1429,Noman Amjad,France,15,17,287,374,22,7.818815331,16.88235294,19.13333333,1.133333333
1430,Noor Ahmad,Afghanistan,1,4,24,10,2.5,2.5,6,24,4
1431,Noorkhan Ahmedi,Switzerland,1,1,12,12,12,6,12,12,1
1432,Nooruddin Mujadady,Germany,4,4,78,134,33.5,10.30769231,19.5,19.5,1
1433,Noorullah Sidiqi,Belgium,1,0,6,20,0,20,0,6,0
1434,Nouman Sarwar,Qatar,4,6,72,112,18.66666667,9.333333333,12,18,1.5
1435,Nyeing Cham Soe,Myanmar,2,0,24,24,0,6,0,12,0
1436,O Gholami,Sweden,4,2,78,83,41.5,6.384615385,39,19.5,0.5
1437,O Isesele,Nigeria,4,1,60,104,104,10.4,60,15,0.25
1438,O Thomas,West Indies,19,21,384,602,28.66666667,9.40625,18.28571429,20.21052632,1.105263158
1439,O Touray,Gambia,2,1,18,46,46,15.33333333,18,9,0.5
1440,OC McCoy,West Indies,29,39,609,864,22.15384615,8.512315271,15.61538462,21,1.344827586
1441,OD Hald,Denmark,17,16,279,318,19.875,6.838709677,17.4375,16.41176471,0.941176471
1442,OF Smith,West Indies,25,25,438,750,30,10.2739726,17.52,17.52,1
1443,OGL Bascome,Bermuda,5,4,61,68,17,6.68852459,15.25,12.2,0.8
1444,OH Agbomadzie,Ghana,17,16,341,342,21.375,6.017595308,21.3125,20.05882353,0.941176471
1445,OJ Hairs,Scotland,1,1,12,19,19,9.5,12,12,1
1446,OL Pitcher,Bermuda,1,0,6,7,0,7,0,6,0
1447,OP Stone,England,1,0,24,36,0,9,0,24,0
1448,Obed Yosef,Vanuatu,5,3,78,98,32.66666667,7.538461538,26,15.6,0.6
1449,Omar Hayat,Denmark,6,8,96,121,15.125,7.5625,12,16,1.333333333
1450,Omar Hussain,Lesotho,4,3,48,72,24,9,16,12,0.75
1451,Omar Rassol,Bulgaria,9,4,108,220,55,12.22222222,27,12,0.444444444
1452,Omid Mailk Khel,Belgium,1,0,12,11,0,5.5,0,12,0
1453,Osama Mahmood,Switzerland,5,4,96,107,26.75,6.6875,24,19.2,0.8
1454,Osman Khan,Austria,1,0,6,20,0,20,0,6,0
1455,P Aho,Nigeria,20,28,413,393,14.03571429,5.709443099,14.75,20.65,1.4
1456,P Arrighi,Argentina,3,4,72,88,22,7.333333333,18,24,1.333333333
1457,P Awana,India,2,0,36,71,0,11.83333333,0,18,0
1458,P Bhart,Norway,9,7,180,176,25.14285714,5.866666667,25.71428571,20,0.777777778
1459,P Buccimazza,Portugal,3,3,66,62,20.66666667,5.636363636,22,22,1
1460,P Cabebula,Fiji,5,5,99,115,23,6.96969697,19.8,19.8,1
1461,P Desungnoen,Thailand,1,0,12,16,0,8,0,12,0
1462,P Fernando,Italy,1,0,6,13,0,13,0,6,0
1463,P Florin,Romania,10,12,113,130,10.83333333,6.902654867,9.416666667,11.3,1.2
1464,P Hatchman,Gibraltar,1,0,6,22,0,22,0,6,0
1465,P Hingorani,Romania,2,0,15,23,0,9.2,0,7.5,0
1466,P Jayawickrama,Sri Lanka,5,2,79,118,59,8.962025316,39.5,15.8,0.4
1467,P Kerai,Kenya,4,3,54,74,24.66666667,8.222222222,18,13.5,0.75
1468,P Khadka,Nepal,21,8,282,289,36.125,6.14893617,35.25,13.42857143,0.380952381
1469,P Koech,Kenya,12,19,188,188,9.894736842,6,9.894736842,15.66666667,1.583333333
1470,P Kumar,India,10,8,156,193,24.125,7.423076923,19.5,15.6,0.8
1471,P Kumbhare,Japan,10,10,205,145,14.5,4.243902439,20.5,20.5,1
1472,P Malav,Luxembourg,18,16,362,467,29.1875,7.740331492,22.625,20.11111111,0.888888889
1473,P Manning,Cayman Islands,7,4,84,105,26.25,7.5,21,12,0.571428571
1474,P Masih,Romania,2,2,42,27,13.5,3.857142857,21,21,1
1475,P Mishra,Bulgaria,26,28,568,695,24.82142857,7.341549296,20.28571429,21.84615385,1.076923077
1476,P Murungi,Uganda,4,3,60,61,20.33333333,6.1,20,15,0.75
1477,P Negi,India,1,1,18,16,16,5.333333333,18,18,1
1478,P Pirabakaran,France,3,4,36,47,11.75,7.833333333,9,12,1.333333333
1479,P Pustoslemsek,Slovenia,4,4,63,85,21.25,8.095238095,15.75,15.75,1
1480,P Raho,Papua New Guinea,2,3,18,20,6.666666667,6.666666667,6,9,1.5
1481,P Sarraf,Nepal,8,2,90,82,41,5.466666667,45,11.25,0.25
1482,P Silas,Botswana,2,0,12,34,0,17,0,6,0
1483,P Taylor,Czech Republic,4,6,84,113,18.83333333,8.071428571,14,21,1.5
1484,P Useni,Nigeria,19,21,359,351,16.71428571,5.866295265,17.0952381,18.89473684,1.105263158
1485,P Utseya,Zimbabwe,30,19,634,770,40.52631579,7.287066246,33.36842105,21.13333333,0.633333333
1486,P Vekaria,Rwanda,7,3,126,157,52.33333333,7.476190476,42,18,0.428571429
1487,PA Desai,Canada,1,1,18,30,30,10,18,18,1
1488,PA Hitchcock,New Zealand,1,2,18,43,21.5,14.33333333,9,18,2
1489,PA van Meekeren,Netherlands,51,59,1075,1269,21.50847458,7.082790698,18.22033898,21.07843137,1.156862745
1490,PADLR Sandakan,Sri Lanka,20,22,460,557,25.31818182,7.265217391,20.90909091,23,1.1
1491,PC Connell,Ireland,6,6,117,136,22.66666667,6.974358974,19.5,19.5,1
1492,PC de Silva,Sri Lanka,2,0,12,30,0,15,0,6,0
1493,PD Collingwood,England/ICC World XI,19,14,210,327,23.35714286,9.342857143,15,11.05263158,0.736842105
1494,PD Hennessy,Spain,3,3,42,44,14.66666667,6.285714286,14,14,1
1495,PDRL Perera,Sri Lanka,2,0,42,77,0,11,0,21,0
1496,PF Gallagher,Finland,15,17,353,364,21.41176471,6.186968839,20.76470588,23.53333333,1.133333333
1497,PHKD Mendis,Sri Lanka,3,0,42,61,0,8.714285714,0,14,0
1498,PJ Cummins,Australia,46,52,1014,1245,23.94230769,7.366863905,19.5,22.04347826,1.130434783
1499,PJ Ongondo,Kenya,5,3,108,114,38,6.333333333,36,21.6,0.6
1500,PK Matautaava,Vanuatu,12,12,252,249,20.75,5.928571429,21,21,1
1501,PKD Chase,Ireland,11,14,239,398,28.42857143,9.991631799,17.07142857,21.72727273,1.272727273
1502,PL Mommsen,Scotland,4,2,72,83,41.5,6.916666667,36,18,0.5
1503,PM Liyanagamage,Sri Lanka,7,9,133,189,21,8.526315789,14.77777778,19,1.285714286
1504,PM Seelaar,Netherlands,55,45,952,1120,24.88888889,7.058823529,21.15555556,17.30909091,0.818181818
1505,PM Siddle,Australia,2,3,48,58,19.33333333,7.25,16,24,1.5
1506,PP Chawla,India,7,4,138,151,37.75,6.565217391,34.5,19.71428571,0.571428571
1507,PP Ojha,India,6,10,126,132,13.2,6.285714286,12.6,21,1.666666667
1508,PR Brown,England,4,3,78,128,42.66666667,9.846153846,26,19.5,0.75
1509,PR Stirling,Ireland,37,16,486,603,37.6875,7.444444444,30.375,13.13513514,0.432432432
1510,PR Surve,Indonesia,4,2,48,58,29,7.25,24,12,0.5
1511,PRP Boissevain,Netherlands,6,6,138,198,33,8.608695652,23,23,1
1512,PV Vuniwaqa,Fiji,1,0,12,20,0,10,0,12,0
1513,PVD Chameera,Sri Lanka,51,46,1094,1477,32.10869565,8.100548446,23.7826087,21.45098039,0.901960784
1514,PW Borren,Netherlands,24,12,406,470,39.16666667,6.945812808,33.83333333,16.91666667,0.5
1515,PWA Mulder,South Africa,5,5,66,90,18,8.181818182,13.2,13.2,1
1516,PWH de Silva,Sri Lanka,54,85,1204,1375,16.17647059,6.852159468,14.16470588,22.2962963,1.574074074
1517,Paing Danu,Myanmar,4,5,90,92,18.4,6.133333333,18,22.5,1.25
1518,Pargat Singh,Canada,3,2,36,67,33.5,11.16666667,18,12,0.666666667
1519,Parveen Kumar,Finland,1,0,6,14,0,14,0,6,0
1520,Parvez Rasool,India,1,1,24,32,32,8,24,24,1
1521,Pavandeep Singh,Malaysia,35,41,745,760,18.53658537,6.120805369,18.17073171,21.28571429,1.171428571
1522,Prashant Shukla,Sweden,1,0,12,18,0,9,0,12,0
1523,Pyae Phyo Wai,Myanmar,4,4,60,98,24.5,9.8,15,15,1
1524,Qadeer Ahmed,United Arab Emirates,9,7,168,235,33.57142857,8.392857143,24,18.66666667,0.777777778
1525,Qais Ahmad,Afghanistan,1,1,12,21,21,10.5,12,12,1
1526,Qamar Mushtaque,Norway,5,7,80,97,13.85714286,7.275,11.42857143,16,1.4
1527,Qasim Anwar,Cyprus,3,3,60,58,19.33333333,5.8,20,20,1
1528,Qudratullah Mir Afzail,Sweden,6,4,95,95,23.75,6,23.75,15.83333333,0.666666667
1529,R Abdulkareem,Nigeria,12,9,180,184,20.44444444,6.133333333,20,15,0.75
1530,R Agamiire,Uganda,2,1,36,9,9,1.5,36,18,0.5
1531,R Ashwin,India,60,62,1342,1588,25.61290323,7.099850969,21.64516129,22.36666667,1.033333333
1532,R Athapaththu,Romania,4,7,96,126,18,7.875,13.71428571,24,1.75
1533,R Baaleri,Ghana,6,10,112,109,10.9,5.839285714,11.2,18.66666667,1.666666667
1534,R Bakum,Ghana,9,14,138,162,11.57142857,7.043478261,9.857142857,15.33333333,1.555555556
1535,R Coker,Sierra Leone,6,3,84,76,25.33333333,5.428571429,28,14,0.5
1536,R Cunningham,Gibraltar,2,2,26,62,31,14.30769231,13,13,1
1537,R Dhawan,India,1,1,24,42,42,10.5,24,24,1
1538,R Dhiman,Bulgaria,4,3,66,84,28,7.636363636,22,16.5,0.75
1539,R Drake,Japan,5,3,60,97,32.33333333,9.7,20,12,0.6
1540,R Frylinck,South Africa,3,5,60,62,12.4,6.2,12,20,1.666666667
1541,R Goodwin,Philippines,1,0,12,21,0,10.5,0,12,0
1542,R Hekure,Papua New Guinea,19,11,287,360,32.72727273,7.526132404,26.09090909,15.10526316,0.578947368
1543,R Klein,Netherlands,2,1,24,45,45,11.25,24,12,0.5
1544,R Kumar,Romania,10,3,143,239,79.66666667,10.02797203,47.66666667,14.3,0.3
1545,R Mahajan,Philippines,2,2,36,63,31.5,10.5,18,18,1
1546,R Mangal,France,11,10,139,211,21.1,9.107913669,13.9,12.63636364,0.909090909
1547,R Mazumder,Cyprus,1,0,6,6,0,6,0,6,0
1548,R McLaren,South Africa,12,17,263,332,19.52941176,7.574144487,15.47058824,21.91666667,1.416666667
1549,R Nehonde,Botswana,18,19,298,349,18.36842105,7.026845638,15.68421053,16.55555556,1.055555556
1550,R Ngarava,Zimbabwe,33,34,720,925,27.20588235,7.708333333,21.17647059,21.81818182,1.03030303
1551,R Nil,Seychelles,3,1,48,60,60,7.5,48,16,0.333333333
1552,R Olipa,Uganda,1,0,6,8,0,8,0,6,0
1553,R Panchal,Spain,7,2,108,104,52,5.777777778,54,15.42857143,0.285714286
1554,R Pathan,Canada,1,0,12,24,0,12,0,12,0
1555,R Powell,West Indies,11,5,113,182,36.4,9.663716814,22.6,10.27272727,0.454545455
1556,R Rampaul,West Indies,25,28,527,760,27.14285714,8.652751423,18.82142857,21.08,1.12
1557,R Ravindra,New Zealand,12,10,210,230,23,6.571428571,21,17.5,0.833333333
1558,R Rohan,Singapore,1,0,6,7,0,7,0,6,0
1559,R Sakurano-Thomas,Japan,10,12,191,203,16.91666667,6.376963351,15.91666667,19.1,1.2
1560,R Satheesan,Romania,10,6,123,172,28.66666667,8.390243902,20.5,12.3,0.6
1561,R Sharma,India,2,3,44,56,18.66666667,7.636363636,14.66666667,22,1.5
1562,R Shepherd,West Indies,26,27,490,862,31.92592593,10.55510204,18.14814815,18.84615385,1.038461538
1563,R Telemachus,South Africa,2,1,48,68,68,8.5,48,24,0.5
1564,R Thapliyal,Belgium,1,1,18,22,22,7.333333333,18,18,1
1565,R Trumpelmann,Namibia,16,12,325,359,29.91666667,6.627692308,27.08333333,20.3125,0.75
1566,R Vinay Kumar,India,9,9,189,247,27.44444444,7.841269841,21,21,1
1567,RA Abolarin,Nigeria,8,9,150,127,14.11111111,5.08,16.66666667,18.75,1.125
1568,RA Jadeja,India,56,39,1105,1298,33.28205128,7.047963801,28.33333333,19.73214286,0.696428571
1569,RA Reifer,West Indies,2,1,30,60,60,12,30,15,0.5
1570,RAJ Smith,Scotland,2,0,41,66,0,9.658536585,0,20.5,0
