,Bowler,Country,No. of Matches Bowled In,Total Wickets,Total Balls Bowled,Total Runs Conceded,Bowling Average,Economy Rate,Strike Rate,Balls Bowled per Match,Wickets per Match
167,Adnan Syed,Finland,2,0,25,39,0,9.36,0,12.5,0
168,Afif Hossain,Bangladesh,18,8,156,216,27,8.307692308,19.5,8.666666667,0.444444444
169,Afif Khattak,Switzerland,1,1,18,23,23,7.666666667,18,18,1
170,Aftab Ahmed,Denmark/Bangladesh,2,0,20,26,0,7.8,0,10,0
171,Aftab Alam,Afghanistan,11,9,221,280,31.11111111,7.601809955,24.55555556,20.09090909,0.818181818
172,Aftab Hussain,Hong Kong,10,16,228,248,15.5,6.526315789,14.25,22.8,1.6
173,Aftab Kayani,Romania,6,8,90,93,11.625,6.2,11.25,15,1.333333333
174,Ahmad Khalid Ahmadzai,Belgium,4,6,78,93,15.5,7.153846154,13,19.5,1.5
175,Ahmadschah Ahmadzai,Germany,1,1,12,24,24,12,12,12,1
176,Ahmadullah Shinwari,Norway,9,7,160,158,22.57142857,5.925,22.85714286,17.77777778,0.777777778
177,Ahmed Hassan,Maldives,2,3,48,47,15.66666667,5.875,16,24,1.5
178,Ahmed Raid,Maldives,1,0,12,14,0,7,0,12,0
179,Ahmed Raza,United Arab Emirates,49,32,974,1062,33.1875,6.542094456,30.4375,19.87755102,0.653061224
180,Ahmed Shehzad,Pakistan,1,0,6,10,0,10,0,6,0
181,Ahmed Wardak,Germany,7,9,131,138,15.33333333,6.320610687,14.55555556,18.71428571,1.285714286
182,Ahsan Khan,Bulgaria,10,5,126,224,44.8,10.66666667,25.2,12.6,0.5
183,Ahsan Malik,Netherlands,26,34,505,642,18.88235294,7.627722772,14.85294118,19.42307692,1.307692308
184,Aizaz Cheema,Pakistan,5,8,102,116,14.5,6.823529412,12.75,20.4,1.6
185,Aizaz Khan,Hong Kong,52,63,1041,1259,19.98412698,7.25648415,16.52380952,20.01923077,1.211538462
186,Akash Babu,Qatar,1,0,6,11,0,11,0,6,0
