,Batter,Country,No. of Innings,No. of Not Outs,Total Runs,Total Balls Faced,No. of Outs,Batting Average,Strike Rate,Balls Faced per Innings,Balls Faced per Wicket
173,AR Balla,Cameroon,7,1,8,33,6,1.333333333,24.24242424,4.714285714,5.5
174,AR Berenger,Qatar,3,0,68,48,3,22.66666667,141.6666667,16,16
175,AR Cusack,Ireland,19,5,224,169,14,16,132.5443787,8.894736842,12.07142857
176,AR Gandhi,Kenya,3,1,86,98,2,43,87.75510204,32.66666667,49
177,AR Leo,St Helena,3,0,25,40,3,8.333333333,62.5,13.33333333,13.33333333
178,AR McBrine,Ireland,18,6,155,132,12,12.91666667,117.4242424,7.333333333,11
179,AR Nurse,West Indies,8,6,85,70,2,42.5,121.4285714,8.75,35
180,AR Patel,India,27,11,321,219,16,20.0625,146.5753425,8.111111111,13.6875
181,AR Patwa,Tanzania,24,2,666,490,22,30.27272727,135.9183673,20.41666667,22.27272727
182,AR Puri,Singapore,6,2,4,16,4,1,25,2.666666667,4
183,AR Ramjani,Uganda,10,2,214,165,8,26.75,129.6969697,16.5,20.625
184,AR White,Ireland,9,3,103,100,6,17.16666667,103,11.11111111,16.66666667
185,ARA Chambers,Portugal,10,1,194,194,9,21.55555556,100,19.4,21.55555556
186,AS Dean,Canada,1,0,1,1,1,1,100,1,1
187,AS Hansra,Canada,8,2,82,85,6,13.66666667,96.47058824,10.625,14.16666667
188,AS Joseph,West Indies,7,5,53,53,2,26.5,100,7.571428571,26.5
189,AS Mehmi,Greece,5,0,12,18,5,2.4,66.66666667,3.6,3.6
190,AS Samra,Philippines,4,0,55,72,4,13.75,76.38888889,18,18
191,AS Wright,Guernsey,3,0,46,44,3,15.33333333,104.5454545,14.66666667,14.66666667
192,ASF Sirah,Philippines,2,1,10,14,1,10,71.42857143,7,14
193,AT Carey,Australia,24,4,229,209,20,11.45,109.569378,8.708333333,10.45
194,AT Chuvale,Mozambique,1,1,3,8,0,3,37.5,8,inf
195,AT Nidamanuru,Netherlands,3,0,30,42,3,10,71.42857143,14,14
196,AT Rayudu,India,5,1,42,50,4,10.5,84,10,12.5
197,AU Rashid,England,26,12,92,108,14,6.571428571,85.18518519,4.153846154,7.714285714
198,AUKDS Kalugala,Cyprus,5,0,68,65,5,13.6,104.6153846,13,13
199,AV Lalcheta,Oman,9,2,85,72,7,12.14285714,118.0555556,8,10.28571429
200,AW Hawkins-Kay,Jersey,8,2,63,82,6,10.5,76.82926829,10.25,13.66666667
201,AY Patel,New Zealand,2,0,7,14,2,3.5,50,7,7
202,Aaftab Alam Khan,Malta,20,5,237,189,15,15.8,125.3968254,9.45,12.6
203,Aamer Ikram,Portugal,3,0,53,67,3,17.66666667,79.10447761,22.33333333,22.33333333
204,Aamer Jamal,Pakistan,1,0,10,7,1,10,142.8571429,7,7
205,Aamer Yamin,Pakistan,1,1,15,6,0,15,250,6,inf
206,Aamir Kaleem,Oman,23,4,323,310,19,17,104.1935484,13.47826087,16.31578947
207,Aamir Lal,South Korea,3,0,38,17,3,12.66666667,223.5294118,5.666666667,5.666666667
208,Aaqib Sulehri,Oman,5,0,35,41,5,7,85.36585366,8.2,8.2
209,Aarif Sheikh,Nepal,23,6,375,355,17,22.05882353,105.6338028,15.43478261,20.88235294
210,Aaron Jones,United States of America,13,4,264,249,9,29.33333333,106.0240964,19.15384615,27.66666667
211,Aasif Sheikh,Nepal,19,1,463,381,18,25.72222222,121.5223097,20.05263158,21.16666667
212,Aayan Afzal Khan,United Arab Emirates,7,1,115,105,6,19.16666667,109.5238095,15,17.5
213,Abbas Ghani,Hungary,1,0,13,8,1,13,162.5,8,8
214,Abdul Hashim,Denmark,10,4,94,98,6,15.66666667,95.91836735,9.8,16.33333333
215,Abdul Majid,Bahrain,1,1,1,1,0,1,100,1,inf
216,Abdul Majid Abbasi,Bahrain,2,2,4,11,0,4,36.36363636,5.5,inf
217,Abdul Rahman,Singapore/France,7,2,117,117,5,23.4,100,16.71428571,23.4
218,Abdul Razzaq,Pakistan,27,9,381,320,18,21.16666667,119.0625,11.85185185,17.77777778
219,Abdul Shakoor,United Arab Emirates/Romania,13,3,178,196,10,17.8,90.81632653,15.07692308,19.6
220,Abdul Shakoor (2),Romania,4,2,64,57,2,32,112.2807018,14.25,28.5
221,Abdul Stanikzai,Germany,4,0,71,86,4,17.75,82.55813953,21.5,21.5
222,Abdul Waheed,Saudi Arabia,10,2,121,139,8,15.125,87.05035971,13.9,17.375
223,Abdul Wahid,Saudi Arabia,2,1,82,52,1,82,157.6923077,26,52
224,Abdul-Shakoor Rahimzei,Germany,18,3,262,238,15,17.46666667,110.0840336,13.22222222,15.86666667
225,Abdullah Akbarjan,Austria,12,3,58,83,9,6.444444444,69.87951807,6.916666667,9.222222222
226,Abdullah Jasat,Panama,5,1,29,22,4,7.25,131.8181818,4.4,5.5
227,Abdullah Mahmood,Denmark,4,2,11,13,2,5.5,84.61538462,3.25,6.5
228,Abdullah Rana,Switzerland,3,1,7,7,2,3.5,100,2.333333333,3.5
229,Abdullah Shafique,Pakistan,6,1,64,53,5,12.8,120.754717,8.833333333,10.6
230,Abdullah Shahid,Maldives,2,0,11,17,2,5.5,64.70588235,8.5,8.5
231,Abdullah Sheikh,Norway,4,1,16,25,3,5.333333333,64,6.25,8.333333333
232,Abdur Razzak,Bangladesh,15,7,37,65,8,4.625,56.92307692,4.333333333,8.125
233,Abdur Rehman,Pakistan,4,2,18,24,2,9,75,6,12
234,Abhijeet Ahuja,Hungary,15,1,309,309,14,22.07142857,100,20.6,22.07142857
235,Abhishek Ahuja,Hungary,8,0,162,150,8,20.25,108,18.75,18.75
236,Abraash Khan,Canada,4,0,66,60,4,16.5,110,15,15
237,Abrar Bilal,Austria,3,0,36,40,3,12,90,13.33333333,13.33333333
238,Absar Khan,Denmark,2,1,6,9,1,6,66.66666667,4.5,9
239,Abu Hider,Bangladesh,4,3,58,43,1,58,134.8837209,10.75,43
240,Abu Jayed,Bangladesh,2,0,3,7,2,1.5,42.85714286,3.5,3.5
241,Abubacarr Kuyateh,Gambia,5,0,16,26,5,3.2,61.53846154,5.2,5.2
242,Abul Hasan,Bangladesh,1,0,5,3,1,5,166.6666667,3,3
243,Adil Butt,Eswatini/Saudi Arabia,6,1,130,96,5,26,135.4166667,16,19.2
244,Adnan Idrees,Kuwait,15,0,266,178,15,17.73333333,149.4382022,11.86666667,11.86666667
245,Adnan Ilyas,Oman,10,0,224,184,10,22.4,121.7391304,18.4,18.4
246,Adnan Mufti,United Arab Emirates,1,1,7,7,0,7,100,7,inf
247,Adnan Razzaq,Belgium,2,2,6,2,0,6,300,1,inf
248,Afif Hossain,Bangladesh,57,9,1044,865,48,21.75,120.6936416,15.1754386,18.02083333
249,Afsar Zazai,Afghanistan,5,0,112,127,5,22.4,88.18897638,25.4,25.4
250,Aftab Ahmed,Bangladesh/Denmark,11,1,203,169,10,20.3,120.1183432,15.36363636,16.9
251,Aftab Alam,Afghanistan,5,3,2,9,2,1,22.22222222,1.8,4.5
252,Aftab Hussain,Hong Kong,3,3,7,5,0,7,140,1.666666667,inf
253,Aftab Kayani,Romania,3,0,32,32,3,10.66666667,100,10.66666667,10.66666667
254,Ahmad Khalid Ahmadzai,Belgium,3,0,2,11,3,0.666666667,18.18181818,3.666666667,3.666666667
255,Ahmad Ramdoni,Indonesia,5,3,26,37,2,13,70.27027027,7.4,18.5
256,Ahmadi Ravat,Panama,1,0,0,1,1,0,0,1,1
257,Ahmadullah Shinwari,Norway,5,0,13,19,5,2.6,68.42105263,3.8,3.8
258,Ahmed Faiz,Malaysia,38,6,1010,796,32,31.5625,126.8844221,20.94736842,24.875
259,Ahmed Hassan,Switzerland/Maldives,18,3,349,339,15,23.26666667,102.9498525,18.83333333,22.6
260,Ahmed Raza,United Arab Emirates,19,9,120,145,10,12,82.75862069,7.631578947,14.5
261,Ahmed Shehzad,Pakistan,55,1,1329,1192,54,24.61111111,111.4932886,21.67272727,22.07407407
262,Ahmed Wardak,Germany,3,1,40,39,2,20,102.5641026,13,19.5
263,Ahmer Bin Nisar,Bahrain,13,3,269,217,10,26.9,123.9631336,16.69230769,21.7
264,Ahsan Abbasi,Hong Kong,5,0,63,69,5,12.6,91.30434783,13.8,13.8
265,Ahsan Ali,Pakistan,2,0,36,39,2,18,92.30769231,19.5,19.5
