,Batter,Country,No. of Innings,No. of Not Outs,Total Runs,Total Balls Faced,No. of Outs,Batting Average,Strike Rate,Balls Faced per Innings,Balls Faced per Wicket
318,Anas Khan,Hong Kong,1,1,21,28,0,21,75,28,inf
319,Anasim Khan,Bahrain,4,1,38,28,3,12.66666667,135.7142857,7,9.333333333
320,Andre Jarju,Gambia,5,1,13,41,4,3.25,31.70731707,8.2,10.25
321,Andrey Lilov,Bulgaria,1,0,0,2,1,0,0,2,2
322,Anik Ahmed,Italy,4,2,53,58,2,26.5,91.37931034,14.5,29
323,Anique Uddin,Denmark,11,0,124,154,11,11.27272727,80.51948052,14,14
324,Anjar Tadarus,Indonesia,5,0,28,31,5,5.6,90.32258065,6.2,6.2
325,Ankit Dubey,Sweden,1,1,5,3,0,5,166.6666667,3,inf
326,Anmoldeep Singh,Italy,1,0,2,7,1,2,28.57142857,7,7
327,Anoop Orsu,Luxembourg,8,4,114,87,4,28.5,131.0344828,10.875,21.75
328,Anowarul Islam,Thailand,4,0,15,20,4,3.75,75,5,5
329,Ansar Iqbal,Norway,6,0,80,81,6,13.33333333,98.7654321,13.5,13.5
330,Anser Mehmood,Switzerland,4,1,73,70,3,24.33333333,104.2857143,17.5,23.33333333
331,Ansh Tandon,United Arab Emirates,3,0,27,22,3,9,122.7272727,7.333333333,7.333333333
332,Anshuman Rath,Hong Kong,21,2,430,433,19,22.63157895,99.30715935,20.61904762,22.78947368
333,Anwar Ali,Pakistan,10,3,109,77,7,15.57142857,141.5584416,7.7,11
334,Anwar Arudin,Malaysia,17,0,125,133,17,7.352941176,93.98496241,7.823529412,7.823529412
335,Anwar Rahman,Malaysia,7,3,9,23,4,2.25,39.13043478,3.285714286,5.75
336,Aphsal Ashraf,Kuwait,2,1,49,25,1,49,196,12.5,25
337,Apon Mustafizur,Serbia,2,0,0,9,2,0,0,4.5,4.5
338,Aqib Ilyas,Oman,19,4,453,388,15,30.2,116.7525773,20.42105263,25.86666667
339,Aqib Iqbal,Austria,13,0,177,193,13,13.61538462,91.70984456,14.84615385,14.84615385
340,Arafat Sunny,Bangladesh,6,3,34,29,3,11.33333333,117.2413793,4.833333333,9.666666667
341,Areeb Quadir,Finland,1,0,14,14,1,14,100,14,14
342,Ariful Haque,Bangladesh,8,4,59,60,4,14.75,98.33333333,7.5,15
343,Aritra Dutta,Singapore,13,0,220,191,13,16.92307692,115.1832461,14.69230769,14.69230769
344,Arjun Vinod,Switzerland,13,3,268,233,10,26.8,115.0214592,17.92307692,23.3
345,Arsalan Ahmed,Greece,2,0,26,21,2,13,123.8095238,10.5,10.5
346,Arshad Iqbal,Pakistan,1,0,0,1,1,0,0,1,1
347,Arshad Mazarzei,Iran,1,0,1,11,1,1,9.090909091,11,11
348,Arshdeep Singh,India,8,6,32,24,2,16,133.3333333,3,12
349,Arslan Ahmed,Portugal,2,0,11,29,2,5.5,37.93103448,14.5,14.5
350,Arslan Amjad,Estonia,3,0,33,35,3,11,94.28571429,11.66666667,11.66666667
351,Aryan Lakra,United Arab Emirates,5,0,44,46,5,8.8,95.65217391,9.2,9.2
352,Asad Ali Rehemtulla,Bulgaria,11,4,42,54,7,6,77.77777778,4.909090909,7.714285714
353,Asad Mahmood,Switzerland,5,0,61,50,5,12.2,122,10,10
354,Asad Mohammad,Germany,1,0,5,5,1,5,100,5,5
355,Asad Shafiq,Pakistan,10,0,192,184,10,19.2,104.3478261,18.4,18.4
356,Asghar Stanikzai,Afghanistan,63,4,1290,1160,59,21.86440678,111.2068966,18.41269841,19.66101695
357,Ashfaq Ahmed,United Arab Emirates,9,0,128,108,9,14.22222222,118.5185185,12,12
358,Ashiqullah Said,Belgium,4,1,16,13,3,5.333333333,123.0769231,3.25,4.333333333
359,Ashish Rana,Estonia,2,1,5,8,1,5,62.5,4,8
360,Ashraful Shuvo,Estonia,2,0,7,12,2,3.5,58.33333333,6,6
361,Ashwin Vinod,Switzerland,4,3,26,20,1,26,130,5,20
362,Asif Ali,Pakistan,48,13,533,394,35,15.22857143,135.2791878,8.208333333,11.25714286
363,Asif Bevinje,Romania,5,0,88,73,5,17.6,120.5479452,14.6,14.6
364,Asif Iqbal,South Korea,3,1,36,45,2,18,80,15,22.5
365,Asif Khan,United Arab Emirates,3,1,72,54,2,36,133.3333333,18,27
366,Aslam Khan,Malaysia,2,1,44,30,1,44,146.6666667,15,30
367,Aslam Mohammad,Greece,4,0,116,74,4,29,156.7567568,18.5,18.5
368,Asrar Ahmed,Greece,2,1,61,63,1,61,96.82539683,31.5,63
369,Assad Borham,Qatar,3,1,11,19,2,5.5,57.89473684,6.333333333,9.5
370,Atif Kamal,Luxembourg,5,1,23,28,4,5.75,82.14285714,5.6,7
371,Atif Mehmood,Spain,6,4,44,44,2,22,100,7.333333333,22
372,Atif Rasheed,Finland,6,0,147,99,6,24.5,148.4848485,16.5,16.5
373,Atif-Ur-Rehman,Saudi Arabia,4,4,12,14,0,12,85.71428571,3.5,inf
374,Aung Ko Ko,Myanmar,2,1,2,8,1,2,25,4,8
375,Avesh Khan,India,3,2,10,7,1,10,142.8571429,2.333333333,7
376,Avi Dixit,Singapore,7,1,46,50,6,7.666666667,92,7.142857143,8.333333333
377,Awais Ahmed,Spain,16,2,244,216,14,17.42857143,112.962963,13.5,15.42857143
378,Awais Ikram,Slovenia,2,0,4,6,2,2,66.66666667,3,3
379,Awais Zia,Pakistan,5,0,70,80,5,14,87.5,16,16
380,Ayan Khan,Oman,9,0,124,120,9,13.77777778,103.3333333,13.33333333,13.33333333
381,Ayush Ummat,Estonia,1,0,0,5,1,0,0,5,5
382,Ayyaz Qureshi,Slovenia,4,0,55,72,4,13.75,76.38888889,18,18
383,Azam Khalil,Sweden,7,0,98,82,7,14,119.5121951,11.71428571,11.71428571
384,Azam Khan,Pakistan,4,1,7,13,3,2.333333333,53.84615385,3.25,4.333333333
385,Azeem Nazir,Switzerland,2,0,36,41,2,18,87.80487805,20.5,20.5
386,Azhar Andani,Portugal,9,1,318,237,8,39.75,134.1772152,26.33333333,29.625
387,Aziz Mohammad,Belgium,5,0,114,82,5,22.8,139.0243902,16.4,16.4
388,Aziz Sualley,Ghana,2,1,4,2,1,4,200,1,2
389,Azmat Ali,Germany,1,0,17,20,1,17,85,20,20
390,Azmatullah Omarzai,Afghanistan,14,3,185,165,11,16.81818182,112.1212121,11.78571429,15
391,Azyan Farhath,Maldives,10,1,91,149,9,10.11111111,61.0738255,14.9,16.55555556
392,B Arora,Malta,32,6,633,652,26,24.34615385,97.08588957,20.375,25.07692308
393,B Bhandari,Nepal,23,7,294,258,16,18.375,113.9534884,11.2173913,16.125
394,B Dugic,Serbia,1,0,0,1,1,0,0,1,1
395,B Evans,Zimbabwe,5,1,41,40,4,10.25,102.5,8,10
396,B Fernando,Sri Lanka,3,2,30,28,1,30,107.1428571,9.333333333,28
397,B George,Malta,18,1,459,332,17,27,138.253012,18.44444444,19.52941176
398,B Isaac,St Helena,1,0,2,11,1,2,18.18181818,11,11
399,B Ivanov,Bulgaria,1,1,10,17,0,10,58.82352941,17,inf
400,B Jerkovic,Croatia,4,3,27,58,1,27,46.55172414,14.5,58
401,B Kgosiemang,Botswana,3,2,10,25,1,10,40,8.333333333,25
402,B Khumalo,Botswana,4,2,6,11,2,3,54.54545455,2.75,5.5
403,B Kumar,India,18,10,67,93,8,8.375,72.04301075,5.166666667,11.625
404,B Lee,Australia,12,6,101,71,6,16.83333333,142.2535211,5.916666667,11.83333333
405,B Maphosa,Botswana,4,2,30,39,2,15,76.92307692,9.75,19.5
406,B Masaba,Uganda,25,7,283,280,18,15.72222222,101.0714286,11.2,15.55555556
407,B Mavuta,Zimbabwe,7,4,53,36,3,17.66666667,147.2222222,5.142857143,12
408,B Muzarabani,Zimbabwe,12,7,19,37,5,3.8,51.35135135,3.083333333,7.4
409,B Niaz,Belgium,4,1,43,92,3,14.33333333,46.73913043,23,30.66666667
410,B Pondani,Malawi,1,1,0,3,0,0,0,3,inf
411,B Regmi,Nepal,7,1,19,49,6,3.166666667,38.7755102,7,8.166666667
412,B Shikongo,Namibia,1,0,0,1,1,0,0,1,1
413,B Stanlake,Australia,2,1,9,12,1,9,75,6,12
414,B Vakatini,Cook Islands,2,0,5,8,2,2.5,62.5,4,4
415,B Ward,Jersey,23,7,440,348,16,27.5,126.4367816,15.13043478,21.75
416,B Wentzel,Guernsey,1,0,1,2,1,1,50,2,2
417,B White,Ireland,5,5,14,17,0,14,82.35294118,3.4,inf
418,B Yadav,Nepal,3,0,17,25,3,5.666666667,68,8.333333333,8.333333333
419,B Zuiderent,Netherlands,5,1,85,98,4,21.25,86.73469388,19.6,24.5
420,BA King,West Indies,37,3,966,745,34,28.41176471,129.6644295,20.13513514,21.91176471
421,BA Pai,Gibraltar,24,4,682,585,20,34.1,116.5811966,24.375,29.25
422,BA Parchment,West Indies,1,0,10,6,1,10,166.6666667,6,6
423,BA Simango,Mozambique,2,0,0,4,2,0,0,2,2
424,BA Stokes,England,35,8,568,446,27,21.03703704,127.3542601,12.74285714,16.51851852
425,BAA Zammitt,Gibraltar,3,0,10,25,3,3.333333333,40,8.333333333,8.333333333
426,BAD Manenti,Italy,5,0,52,43,5,10.4,120.9302326,8.6,8.6
427,BAW Mendis,Sri Lanka,6,3,8,16,3,2.666666667,50,2.666666667,5.333333333
428,BB Chari,Zimbabwe,3,0,21,31,3,7,67.74193548,10.33333333,10.33333333
429,BB McCullum,New Zealand,62,9,1954,1434,53,36.86792453,136.2622036,23.12903226,27.05660377
430,BBJL Perera,Italy,12,1,272,248,11,24.72727273,109.6774194,20.66666667,22.54545455
431,BC Fortuin,South Africa,7,2,44,34,5,8.8,129.4117647,4.857142857,6.8
432,BC Sahin,Turkey,2,0,6,19,2,3,31.57894737,9.5,9.5
433,BCJ Cutting,Australia/ICC World XI,4,0,40,27,4,10,148.1481481,6.75,6.75
434,BD Glover,Netherlands,5,2,2,11,3,0.666666667,18.18181818,2.2,3.666666667
435,BDH Stevens,Jersey,12,0,199,200,12,16.58333333,99.5,16.66666667,16.66666667
436,BE Hendricks,South Africa,5,2,18,23,3,6,78.26086957,4.6,7.666666667
437,BFW de Leede,Netherlands,26,6,610,572,20,30.5,106.6433566,22,28.6
438,BG Lister,New Zealand,2,1,0,4,1,0,0,2,4
439,BJ Davidson,Serbia,3,0,9,19,3,3,47.36842105,6.333333333,6.333333333
440,BJ Dwarshuis,Australia,1,1,0,2,0,0,0,2,inf
441,BJ Haddin,Australia,25,5,326,288,20,16.3,113.1944444,11.52,14.4
442,BJ Hodge,Australia,8,4,133,96,4,33.25,138.5416667,12,24
443,BJ McCarthy,Ireland,25,9,271,205,16,16.9375,132.195122,8.2,12.8125
444,BJ McMullen,Scotland,6,1,212,137,5,42.4,154.7445255,22.83333333,27.4
445,BJ Rohrer,Australia,1,0,16,14,1,16,114.2857143,14,14
446,BJ Watling,New Zealand,3,0,30,47,3,10,63.82978723,15.66666667,15.66666667
447,BK Stroud,St Helena,1,1,10,18,0,10,55.55555556,18,inf
448,BKB Corbin,Cayman Islands,3,0,37,29,3,12.33333333,127.5862069,9.666666667,9.666666667
449,BKG Mendis,Sri Lanka,53,2,1245,928,51,24.41176471,134.1594828,17.50943396,18.19607843
450,BLCS Kumara,Cyprus,2,0,3,7,2,1.5,42.85714286,3.5,3.5
451,BM Duckett,England,11,2,301,205,9,33.44444444,146.8292683,18.63636364,22.77777778
452,BM Scholtz,Namibia,8,6,23,39,2,11.5,58.97435897,4.875,19.5
453,BM Tickner,New Zealand,4,2,11,23,2,5.5,47.82608696,5.75,11.5
454,BM Wheeler,New Zealand,3,1,37,28,2,18.5,132.1428571,9.333333333,14
455,BMAJ Mendis,Sri Lanka,14,4,199,163,10,19.9,122.0858896,11.64285714,16.3
456,BN Cooper,Netherlands,48,10,1092,886,38,28.73684211,123.2505643,18.45833333,23.31578947
457,BN Toube,Cameroon,10,0,168,167,10,16.8,100.5988024,16.7,16.7
458,BOP Fernando,Sri Lanka,6,1,128,114,5,25.6,112.2807018,19,22.8
459,BP Adapaka,Hungary,3,3,2,3,0,2,66.66666667,1,inf
460,BR Dunk,Australia,5,0,99,68,5,19.8,145.5882353,13.6,13.6
461,BR McDermott,Australia,19,3,219,240,16,13.6875,91.25,12.63157895,15
462,BRM Taylor,Zimbabwe,42,6,850,738,36,23.61111111,115.1761518,17.57142857,20.5
463,BS Sandhu,Slovenia,1,0,2,5,1,2,40,5,5
464,BS Stephenson,Belize,6,1,75,67,5,15,111.9402985,11.16666667,13.4
465,BTJ Wheal,Scotland,4,3,5,8,1,5,62.5,2,8
466,BV Save,Malaysia,2,0,16,17,2,8,94.11764706,8.5,8.5
467,BV Vitori,Zimbabwe,2,2,8,7,0,8,114.2857143,3.5,inf
468,BW Hilfenhaus,Australia,3,1,2,10,2,1,20,3.333333333,5
469,Babar Azam,Pakistan,97,13,3426,2667,84,40.78571429,128.4589426,27.49484536,31.75
470,Babar Hayat,Hong Kong,37,6,786,644,31,25.35483871,122.0496894,17.40540541,20.77419355
471,Bakhtiar Tahiri,Bulgaria,4,0,92,93,4,23,98.92473118,23.25,23.25
472,Baljinder Singh,Romania,1,0,6,7,1,6,85.71428571,7,7
473,Baljit Singh,Italy,6,1,58,52,5,11.6,111.5384615,8.666666667,10.4
474,Bashir Shah,Denmark,4,3,3,7,1,3,42.85714286,1.75,7
475,Basil Hameed,United Arab Emirates,26,5,306,269,21,14.57142857,113.7546468,10.34615385,12.80952381
476,Baz Aybui,Sweden,3,2,8,24,1,8,33.33333333,8,24
477,Bhumeshswar Jagroo,Bahamas,2,1,4,8,1,4,50,4,8
478,Bilal Aftab,Denmark,2,1,2,3,1,2,66.66666667,1.5,3
479,Bilal Hassun,Uganda,9,4,31,37,5,6.2,83.78378378,4.111111111,7.4
480,Bilal Khan,Oman,12,6,24,38,6,4,63.15789474,3.166666667,6.333333333
481,Bilal Muhammad,Malta,13,4,159,83,9,17.66666667,191.5662651,6.384615385,9.222222222
482,Bilal Safdar,Norway,8,2,73,86,6,12.16666667,84.88372093,10.75,14.33333333
483,Bilal Tahir,Kuwait,16,5,204,144,11,18.54545455,141.6666667,9,13.09090909
484,Bilal Zalmai,Austria,3,0,51,40,3,17,127.5,13.33333333,13.33333333
485,Bilawal Bhatti,Pakistan,3,1,23,14,2,11.5,164.2857143,4.666666667,7
486,Bosco Tuyizere,Rwanda,9,1,91,115,8,11.375,79.13043478,12.77777778,14.375
487,C Bah,Sierra Leone,4,0,26,22,4,6.5,118.1818182,5.5,5.5
488,C Bayraktar,Turkey,3,0,26,34,3,8.666666667,76.47058824,11.33333333,11.33333333
489,C Bisson,Jersey,8,1,100,71,7,14.28571429,140.8450704,8.875,10.14285714
490,C Bogdanos,Greece,3,0,31,43,3,10.33333333,72.09302326,14.33333333,14.33333333
491,C Brennan,Jersey,7,0,78,84,7,11.14285714,92.85714286,12,12
492,C Brown,Belize,4,0,46,61,4,11.5,75.40983607,15.25,15.25
493,C Campher,Ireland,34,7,657,507,27,24.33333333,129.5857988,14.91176471,18.77777778
494,C Carter,Hong Kong,5,1,55,63,4,13.75,87.3015873,12.6,15.75
495,C Chatphaisan,Thailand,7,1,47,48,6,7.833333333,97.91666667,6.857142857,8
496,C Chete,Malawi,2,0,0,4,2,0,0,2,2
497,C Dickson,Cook Islands,4,0,58,61,4,14.5,95.08196721,15.25,15.25
498,C Floyd,Netherlands,3,2,24,24,1,24,100,8,24
499,C Forbes,Swaziland/Eswatini,10,0,135,152,10,13.5,88.81578947,15.2,15.2
500,C Green,Australia,8,0,139,80,8,17.375,173.75,10,10
501,C Hartmann,Isle of Man,14,5,185,175,9,20.55555556,105.7142857,12.5,19.44444444
502,C Hauptfleisch,Cayman Islands,5,0,69,84,5,13.8,82.14285714,16.8,16.8
503,C Jonker,South Africa,2,0,57,29,2,28.5,196.5517241,14.5,14.5
504,C Karunaratne,Sri Lanka,32,15,291,269,17,17.11764706,108.1784387,8.40625,15.82352941
505,C Kieswetter,England,23,1,512,440,22,23.27272727,116.3636364,19.13043478,20
506,C Kyewuta,Uganda,7,2,38,36,5,7.6,105.5555556,5.142857143,7.2
507,C Liebenberg,Isle of Man,1,0,1,1,1,1,100,1,1
508,C Madande,Zimbabwe,4,1,34,36,3,11.33333333,94.44444444,9,12
509,C Munoz-Mills,Spain,14,4,166,132,10,16.6,125.7575758,9.428571429,13.2
510,C Munro,New Zealand,56,6,1527,982,50,30.54,155.4989817,17.53571429,19.64
511,C Pengkumta,Thailand,9,2,50,90,7,7.142857143,55.55555556,10,12.85714286
512,C Rububagumya,Rwanda,29,3,286,346,26,11,82.65895954,11.93103448,13.30769231
513,C Rumistrzewicz,Spain,6,4,17,28,2,8.5,60.71428571,4.666666667,14
514,C Sakariya,India,1,1,5,9,0,5,55.55555556,9,inf
515,C Smith,Isle of Man,2,0,17,15,2,8.5,113.3333333,7.5,7.5
516,C Sudarsanan,Malta,6,3,24,39,3,8,61.53846154,6.5,13
517,C Tlali,Lesotho,10,0,155,156,10,15.5,99.35897436,15.6,15.6
518,C Tommy,Vanuatu,9,0,102,125,9,11.33333333,81.6,13.88888889,13.88888889
519,C Viljoen,Namibia,6,2,68,69,4,17,98.55072464,11.5,17.25
520,C Waiswa,Uganda,2,1,20,14,1,20,142.8571429,7,14
521,C Webster,Isle of Man,4,0,51,34,4,12.75,150,8.5,8.5
522,C Wright,Cayman Islands,8,3,40,51,5,8,78.43137255,6.375,10.2
523,C Zavoiu,Romania,6,2,19,33,4,4.75,57.57575758,5.5,8.25
524,C Zhuwao,Zimbabwe,4,0,36,41,4,9,87.80487805,10.25,10.25
525,C de Grandhomme,New Zealand,36,6,494,345,30,16.46666667,143.1884058,9.583333333,11.5
526,CA Ingram,South Africa,9,1,210,162,8,26.25,129.6296296,18,20.25
527,CA Keita,Mali,4,0,39,44,4,9.75,88.63636364,11,11
528,CA Lynn,Australia,15,1,278,207,14,19.85714286,134.2995169,13.8,14.78571429
529,CA Soper,Papua New Guinea,9,4,64,75,5,12.8,85.33333333,8.333333333,15
530,CA Young,Ireland,18,7,60,86,11,5.454545455,69.76744186,4.777777778,7.818181818
531,CAH Stevenson,United States of America,3,0,13,19,3,4.333333333,68.42105263,6.333333333,6.333333333
532,CAJ Meschede,Germany,4,1,174,111,3,58,156.7567568,27.75,37
533,CAK Rajitha,Sri Lanka,8,5,31,53,3,10.33333333,58.49056604,6.625,17.66666667
534,CAK Walton,West Indies,17,0,225,203,17,13.23529412,110.8374384,11.94117647,11.94117647
535,CB Mpofu,Zimbabwe,9,6,35,42,3,11.66666667,83.33333333,4.666666667,14
536,CB Ondoa,Cameroon,8,2,27,81,6,4.5,33.33333333,10.125,13.5
537,CB Sole,Scotland,2,2,6,3,0,6,200,1.5,inf
538,CBRLS Kumara,Sri Lanka,5,2,10,11,3,3.333333333,90.90909091,2.2,3.666666667
539,CD Barnwell,West Indies,6,2,78,62,4,19.5,125.8064516,10.33333333,15.5
540,CD McMillan,New Zealand,7,1,187,116,6,31.16666667,161.2068966,16.57142857,19.33333333
541,CD Wallace,Scotland,11,4,104,106,7,14.85714286,98.11320755,9.636363636,15.14285714
542,CD de Lange,Scotland,3,0,35,22,3,11.66666667,159.0909091,7.333333333,7.333333333
543,CE McConchie,New Zealand,7,3,84,75,4,21,112,10.71428571,18.75
544,CG Osborne,Croatia,2,1,11,25,1,11,44,12.5,25
545,CG Williams,Namibia,33,4,804,714,29,27.72413793,112.605042,21.63636364,24.62068966
546,CH Gayle,West Indies,66,5,1637,1176,61,26.83606557,139.2006803,17.81818182,19.27868852
547,CH Morris,South Africa,13,4,133,102,9,14.77777778,130.3921569,7.846153846,11.33333333
548,CJ Anderson,New Zealand,23,4,478,346,19,25.15789474,138.150289,15.04347826,18.21052632
549,CJ Bowes,New Zealand,9,0,131,114,9,14.55555556,114.9122807,12.66666667,12.66666667
550,CJ Boyce,Australia,2,1,4,7,1,4,57.14285714,3.5,7
551,CJ Chibhabha,Zimbabwe,30,0,587,507,30,19.56666667,115.7790927,16.9,16.9
552,CJ Dala,South Africa,4,3,19,28,1,19,67.85714286,7,28
553,CJ Delany,Gibraltar,10,1,223,202,9,24.77777778,110.3960396,20.2,22.44444444
554,CJ Ferguson,Australia,3,0,16,19,3,5.333333333,84.21052632,6.333333333,6.333333333
555,CJ Gannon,United States of America,2,2,10,5,0,10,200,2.5,inf
556,CJ Jordan,England,45,17,402,306,28,14.35714286,131.372549,6.8,10.92857143
557,CJ Langford,Isle of Man,5,2,30,31,3,10,96.77419355,6.2,10.33333333
558,CJ McKay,Australia,4,2,19,22,2,9.5,86.36363636,5.5,11
559,CJA Amini,Papua New Guinea,34,6,666,565,28,23.78571429,117.8761062,16.61764706,20.17857143
560,CJO Smith,Scotland,5,1,57,50,4,14.25,114,10,12.5
561,CJPF Kalugamage,Italy,4,2,18,23,2,9,78.26086957,5.75,11.5
562,CK Coventry,Zimbabwe,12,2,127,90,10,12.7,141.1111111,7.5,9
563,CK Jasmat,Samoa,5,0,39,37,5,7.8,105.4054054,7.4,7.4
564,CK Kapugedera,Sri Lanka,37,6,685,576,31,22.09677419,118.9236111,15.56756757,18.58064516
565,CK Langeveldt,South Africa,3,2,4,8,1,4,50,2.666666667,8
566,CL Cairns,New Zealand,1,0,1,4,1,1,25,4,4
567,CL White,Australia,40,13,860,666,27,31.85185185,129.1291291,16.65,24.66666667
568,CM Akachukwu,Nigeria,9,3,69,69,6,11.5,100,7.666666667,11.5
569,CM Rocca,Gibraltar,1,0,14,19,1,14,73.68421053,19,19
570,CM Wright,Scotland,1,0,14,18,1,14,77.77777778,18,18
571,CMW Read,England,1,0,13,11,1,13,118.1818182,11,11
572,CN Ackermann,Netherlands,22,4,465,401,18,25.83333333,115.9600998,18.22727273,22.27777778
573,CN Greaves,Scotland,15,6,233,204,9,25.88888889,114.2156863,13.6,22.66666667
574,CN Kakuru,Uganda,11,2,98,101,9,10.88888889,97.02970297,9.181818182,11.22222222
575,CN Onwuzulike,Nigeria,17,2,220,211,15,14.66666667,104.2654028,12.41176471,14.06666667
576,CO Obuya,Kenya,45,9,1124,1008,36,31.22222222,111.5079365,22.4,28
577,CP Rizwan,United Arab Emirates,16,3,323,295,13,24.84615385,109.4915254,18.4375,22.69230769
578,CP Schofield,England,4,3,24,20,1,24,120,5,20
579,CP Turkich,Croatia,5,0,49,101,5,9.8,48.51485149,20.2,20.2
580,CPPM Sadun,Cyprus,10,2,154,165,8,19.25,93.33333333,16.5,20.625
581,CR Brathwaite,West Indies,26,6,292,264,20,14.6,110.6060606,10.15384615,13.2
582,CR Ervine,Zimbabwe,55,2,1133,1078,53,21.37735849,105.1020408,19.6,20.33962264
583,CR Foggo,Bermuda,1,0,6,11,1,6,54.54545455,11,11
584,CR Richards,St Helena,2,0,7,6,2,3.5,116.6666667,3,3
585,CR Suryawanshi,Singapore,2,0,4,5,2,2,80,2.5,2.5
586,CR Woakes,England,12,6,103,76,6,17.16666667,135.5263158,6.333333333,12.66666667
587,CRD Fernando,Sri Lanka,5,0,25,27,5,5,92.59259259,5.4,5.4
588,CS Baugh,West Indies,2,0,8,10,2,4,80,5,5
589,CS MacLeod,Scotland,53,7,993,901,46,21.58695652,110.2108768,17,19.58695652
590,CS Martin,New Zealand,1,1,5,6,0,5,83.33333333,6,inf
591,CT Mumba,Zimbabwe,2,1,26,17,1,26,152.9411765,8.5,17
592,CT Mutombodzi,Zimbabwe,14,3,134,142,11,12.18181818,94.36619718,10.14285714,12.90909091
593,CU Jayasinghe,Sri Lanka,3,2,49,49,1,49,100,16.33333333,49
594,CV Harrison,Gibraltar,1,0,2,4,1,2,50,4,4
595,CV Varun,India,1,0,0,2,1,0,0,2,2
596,CW Perchard,Jersey,10,2,58,63,8,7.25,92.06349206,6.3,7.875
597,Charanjeet Singh,Italy,1,1,8,9,0,8,88.88888889,9,inf
598,Chaudhary Akram,Norway,2,0,46,62,2,23,74.19354839,31,31
599,Chen Zhuo Yue,China,4,1,18,19,3,6,94.73684211,4.75,6.333333333
600,Chirag Suri,United Arab Emirates,29,2,751,652,27,27.81481481,115.1840491,22.48275862,24.14814815
601,Choudry Share Ali,Sweden,1,1,61,42,0,61,145.2380952,42,inf
602,Cihan Altun,Turkey,1,0,4,2,1,4,200,2,2
603,D Abeyrathna,Norway,12,2,195,230,10,19.5,84.7826087,19.16666667,23
604,D Ahir,Panama,3,0,22,23,3,7.333333333,95.65217391,7.666666667,7.666666667
605,D Ajekun,Nigeria,11,0,118,177,11,10.72727273,66.66666667,16.09090909,16.09090909
606,D Birrell,Jersey,1,1,1,3,0,1,33.33333333,3,inf
607,D Bishoo,West Indies,4,2,17,29,2,8.5,58.62068966,7.25,14.5
608,D Cato,Cayman Islands,3,0,30,58,3,10,51.72413793,19.33333333,19.33333333
609,D Cleaver,New Zealand,7,1,122,101,6,20.33333333,120.7920792,14.42857143,16.83333333
610,D Doyle-Calle,Spain,15,2,258,238,13,19.84615385,108.4033613,15.86666667,18.30769231
611,D Faletar,Croatia,3,1,4,15,2,2,26.66666667,5,7.5
612,D Finau,Samoa,2,0,4,6,2,2,66.66666667,3,3
613,D Foxcroft,New Zealand,1,0,10,10,1,10,100,10,10
614,D Gim,Nigeria,12,2,64,116,10,6.4,55.17241379,9.666666667,11.6
615,D Heyliger,Canada,13,10,163,107,3,54.33333333,152.3364486,8.230769231,35.66666667
616,D Jakiel,Malawi,1,1,11,12,0,11,91.66666667,12,inf
617,D Jansen,Isle of Man,6,0,89,99,6,14.83333333,89.8989899,16.5,16.5
618,D Johnson,Cayman Islands,3,1,11,16,2,5.5,68.75,5.333333333,8
619,D Kalvin,Seychelles,5,1,55,84,4,13.75,65.47619048,16.8,21
620,D Kansonkho,Malawi,8,1,166,183,7,23.71428571,90.71038251,22.875,26.14285714
621,D Kegasitswe,Botswana,2,2,5,11,0,5,45.45454545,5.5,inf
622,D Klein,Germany,17,5,123,99,12,10.25,124.2424242,5.823529412,8.25
623,D Madushanka,Sri Lanka,3,0,2,6,3,0.666666667,33.33333333,2,2
624,D Maisuria,Botswana,8,1,48,69,7,6.857142857,69.56521739,8.625,9.857142857
625,D Marks,Malta,2,1,11,16,1,11,68.75,8,16
626,D Marsic,Croatia,4,0,41,74,4,10.25,55.40540541,18.5,18.5
627,D Mauro,Argentina,3,3,17,23,0,17,73.91304348,7.666666667,inf
628,D Mogan,Malaysia,1,0,2,8,1,2,25,8,8
629,D Mongia,India,1,0,38,45,1,38,84.44444444,45,45
630,D Muhumuza,Uganda,18,6,247,244,12,20.58333333,101.2295082,13.55555556,20.33333333
631,D Mullen,Guernsey,1,0,3,4,1,3,75,4,4
632,D Murphy,Scotland,4,3,35,35,1,35,100,8.75,35
633,D Mutu,Turkey,1,1,0,3,0,0,0,3,inf
634,D Myers,Zimbabwe,8,0,139,116,8,17.375,119.8275862,14.5,14.5
635,D Nath,Nepal,3,1,15,11,2,7.5,136.3636364,3.666666667,5.5
636,D Ndikubwimana,Rwanda,21,3,224,313,18,12.44444444,71.56549521,14.9047619,17.38888889
637,D Nikolov,Bulgaria,8,1,35,51,7,5,68.62745098,6.375,7.285714286
638,D Padikkal,India,2,0,38,38,2,19,100,19,19
639,D Paterson,South Africa,2,1,5,2,1,5,250,1,2
640,D Polpitiya,Eswatini,1,0,0,1,1,0,0,1,1
641,D Pretorius,South Africa,17,5,261,159,12,21.75,164.1509434,9.352941176,13.25
642,D Ramdin,West Indies,46,15,626,542,31,20.19354839,115.498155,11.7826087,17.48387097
643,D Ravu,Papua New Guinea,7,3,22,25,4,5.5,88,3.571428571,6.25
644,D Sabir,Bermuda,1,1,1,5,0,1,20,5,inf
645,D Samarawickrama,Italy,3,0,15,27,3,5,55.55555556,9,9
