,Bowler,Bowler Team(s),Matches Bowled In,Total Wickets,Balls Bowled,Total Runs Conceded,Bowling Average,Economy Rate,Strike Rate,Balls Bowled per Match,Wickets per Match
62,Avesh Khan,Delhi Capitals/Lucknow Super Giants/Delhi Daredevils/Royal Challengers Bangalore,46,51,982,1414,27.7254902,8.639511202,19.25490196,21.34782609,1.108695652
63,Azhar Mahmood,Kings XI Punjab/Kolkata Knight Riders,23,28,537,700,25,7.82122905,19.17857143,23.34782609,1.217391304
64,B Akhil,Royal Challengers Bangalore/Kochi Tuskers Kerala,13,6,188,242,40.33333333,7.723404255,31.33333333,14.46153846,0.461538462
65,B Chipli,Deccan Chargers,1,0,6,20,0,20,0,6,0
66,B Geeves,Delhi Daredevils,2,1,48,91,91,11.375,48,24,0.5
67,B Kumar,Sunrisers Hyderabad/Pune Warriors,159,163,3544,4367,26.79141104,7.393340858,21.74233129,22.28930818,1.025157233
68,B Laughlin,Chennai Super Kings/Rajasthan Royals,9,10,168,282,28.2,10.07142857,16.8,18.66666667,1.111111111
69,B Lee,Kolkata Knight Riders/Kings XI Punjab,38,23,875,1095,47.60869565,7.508571429,38.04347826,23.02631579,0.605263158
70,B Stanlake,Sunrisers Hyderabad/Royal Challengers Bangalore,6,7,144,200,28.57142857,8.333333333,20.57142857,24,1.166666667
71,BA Bhatt,Kings XI Punjab,15,11,296,397,36.09090909,8.047297297,26.90909091,19.73333333,0.733333333
72,BA Stokes,Rajasthan Royals/Chennai Super Kings/Rising Pune Supergiant,38,28,689,992,35.42857143,8.638606676,24.60714286,18.13157895,0.736842105
73,BAW Mendis,Kolkata Knight Riders/Pune Warriors,9,5,216,266,53.2,7.388888889,43.2,24,0.555555556
74,BB Sran,Sunrisers Hyderabad/Kings XI Punjab/Mumbai Indians/Rajasthan Royals,23,18,471,733,40.72222222,9.337579618,26.16666667,20.47826087,0.782608696
75,BCJ Cutting,Mumbai Indians/Sunrisers Hyderabad/Rajasthan Royals,17,10,281,429,42.9,9.160142349,28.1,16.52941176,0.588235294
76,BE Hendricks,Kings XI Punjab,7,9,150,235,26.11111111,9.4,16.66666667,21.42857143,1.285714286
77,BJ Hodge,Kochi Tuskers Kerala/Rajasthan Royals/Kolkata Knight Riders,20,17,234,303,17.82352941,7.769230769,13.76470588,11.7,0.85
78,BJ Rohrer,Delhi Daredevils,1,0,6,12,0,12,0,6,0
79,BMAJ Mendis,Delhi Daredevils,2,1,30,36,36,7.2,30,15,0.5
80,BW Hilfenhaus,Chennai Super Kings,17,22,372,479,21.77272727,7.725806452,16.90909091,21.88235294,1.294117647
81,Basil Thampi,Mumbai Indians/Sunrisers Hyderabad/Gujarat Lions,22,17,449,731,43,9.768374165,26.41176471,20.40909091,0.772727273
82,Bipul Sharma,Sunrisers Hyderabad/Kings XI Punjab,28,17,426,572,33.64705882,8.056338028,25.05882353,15.21428571,0.607142857
83,C Ganapathy,Chennai Super Kings,1,0,6,13,0,13,0,6,0
84,C Green,Mumbai Indians,16,6,228,361,60.16666667,9.5,38,14.25,0.375
85,C Munro,Kolkata Knight Riders,2,0,12,15,0,7.5,0,6,0
86,C Nanda,Mumbai Indians,3,2,48,57,28.5,7.125,24,16,0.666666667
87,C Sakariya,Rajasthan Royals/Delhi Capitals,19,20,426,599,29.95,8.436619718,21.3,22.42105263,1.052631579
88,C de Grandhomme,Royal Challengers Bangalore/Kolkata Knight Riders,19,6,216,319,53.16666667,8.861111111,36,11.36842105,0.315789474
89,CH Gayle,Kolkata Knight Riders/Kings XI Punjab/Royal Challengers Bangalore,36,18,518,694,38.55555556,8.038610039,28.77777778,14.38888889,0.5
90,CH Morris,Delhi Capitals/Chennai Super Kings/Delhi Daredevils/Rajasthan Royals/Royal Challengers Bangalore,79,91,1672,2226,24.46153846,7.988038278,18.37362637,21.16455696,1.151898734
91,CJ Anderson,Mumbai Indians/Delhi Daredevils/Royal Challengers Bangalore,22,11,297,518,47.09090909,10.46464646,27,13.5,0.5
92,CJ Dala,Delhi Daredevils,1,0,18,34,0,11.33333333,0,18,0
93,CJ Green,Kolkata Knight Riders,1,0,17,24,0,8.470588235,0,17,0
